Aegithalos iouschistos,7.0,B
Aegithalos leucogenys,6.7,B
Aegithalos niveogularis,7.8,B
Aegithina lafresnayei,11.96,B
Aegithina nigrolutea,11.83,B
Aegithina tiphia,12.0,B
Aegithina viridissima,13.4,B
Aegolius acadicus,100.69,B
Aegolius funereus,137.18,B
Aegolius harrisii,120.0,B
Aegolius ridgwayi,80.0,B
Aegotheles albertisi,35.2,B
Aegotheles archboldi,30.6,B
Aegotheles bennettii,60.0,B
Aegotheles crinifrons,136.0,B
Aegotheles cristatus,42.78,B
Aegotheles insignis,78.5,B
Aegotheles savesi,59.38,B
Aegotheles tatei,52.0,B
Aegotheles wallacii,50.73,B
Aegypius monachus,9320.55,B
Aeluroglena cucullata,10.0,R
Aeluroscalabotes felinus,39.0,R
Aenigmatolimnas marginalis,51.2,B
Aepeomys fuscatus,49.5,M
Aepeomys lugens,37.0,M
Aepeomys reigi,37.0,M
Aepyceros melampus,52463.9233333,M
Aepypodius arfakianus,1463.8,B
Aepypodius bruijnii,192.0,B
Aepyprymnus rufescens,2953.43666667,M
Aeretes melanopterus,753.23,M
Aeromys tephromelas,1150.66666667,M
Aeromys thomasi,1431.73,M
Aeronautes andecolus,17.6,B
Aeronautes montivagus,20.14,B
Aeronautes saxatalis,32.1,B
Aethalops aequalis,15.0,M
Aethalops alecto,15.0,M
Aethia cristatella,259.36,B
Aethia psittacula,269.98,B
Aethia pusilla,83.99,B
Aethia pygmaea,112.0,B
Aethomys bocagei,79.89,M
Aethomys chrysophilus,79.3333333333,M
Aethomys granti,40.0,M
Aethomys hindei,128.383333333,M
Aethomys ineptus,133.16,M
Aethomys kaiseri,89.9966666667,M
Aethomys namaquensis,57.2,M
Aethomys nyikae,77.01,M
Aethomys silindensis,82.76,M
Aethomys stannarius,82.9,M
Aethomys thomasi,84.69,M
Aethopyga bella,4.0,B
Aethopyga boltoni,7.09,B
Aethopyga christinae,5.2,B
Aethopyga duyvenbodei,6.03,B
Aethopyga eximia,6.03,B
Aethopyga flagrans,6.7,B
Aethopyga gouldiae,5.0,B
Aethopyga ignicauda,8.2,B
Aethopyga linaraborae,7.2,B
Aethopyga mystacalis,6.0,B
Aethopyga nipalensis,6.9,B
Aethopyga primigenia,7.0,B
